Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording4	Participant16	G7-2	E1-ST	1	E1-ST	IMA	281562	100417		93516	302	67	1983	310	249	158	IMA	IMA	5.79011	78858	307	67	1983	257	1057	1542	5.78677	132111	4128	67	42687	32	249	5608	133012	4157	75	42704	32	241	5616	0			0			167	6457	5857	315.09	110.09													
Recording4	Participant16	G7-2	E1-ST	1	E1-ST	SUB	281562	100417		30122	235	66	1158	128	5890	267	IMA	IMA	5.71069	27630	236	66	1158	117	5890	267	5.70369	35512	658	66	2725	54	5890	391	37338	691	67	2741	54	5857	425	0			0			53	5857	32737	110.09	254.1													
Recording4	Participant16	G7-2	E2-LC	1	E2-LC	IMA	269797	979262		46528	229	66	841	203	2178	217	IMA		5.06038	41687	230	66	841	181	2178	217	5.07527	76801	3491	75	24031	22	2178	3608	77568	3526	92	24114	22	2112	3675	0			0			90	2112	19386	387.96	73.29													
Recording4	Participant16	G7-2	E2-LC	1	E2-LC	SUB	269797	979262		23987	200	67	558	120	6036	200	IMA		5.08707	21590	204	67	558	106	6036	200	5.10559	38851	883	67	7575	44	6036	7575	40135	912	83	7600	44	6011	7600	0			0			39	19386	13611	73.29	58.85													
Recording4	Participant16	G7-2	E3-SDH	1	E3-SDH	IMA	292809	1747978		82033	245	6	1675	335	1518	250	IMA	IMA	4.73759	66020	245	67	1675	270	4514	208	4.75543	131125	3198	75	17498	41	1518	250	132626	3235	117	17532	41	1518	250	0			0			154	9522	2939	290.36	264.98													
Recording4	Participant16	G7-2	E3-SDH	1	E3-SDH	SUB	292809	1747978		33462	191	67	1008	175	1851	142	IMA	IMA	4.74356	30797	187	67	800	165	2989	183	4.76004	49342	851	67	5541	58	1851	625	51158	882	83	5591	58	1826	650	0			0			70	2939	9522	264.98	290.36													
Recording4	Participant16	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	2573084	0	1	82033	245	6	1675	335	1749496	250	IMA		4.73759	66020	245	67	1675	270	1752492	208	4.75543	131125	3198	75	17498	41	1749496	250	132626	3235	117	17532	41	1749496	250	0			0			154	1757500	1750917	290.36	264.98													
Recording4	Participant16	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	2573084	0	1	46528	229	66	841	203	981440	217	IMA		5.06038	41687	230	66	841	181	981440	217	5.07527	76801	3491	75	24031	22	981440	3608	77568	3526	92	24114	22	981374	3675	0			0			90	981374	998648	387.96	73.29													
Recording4	Participant16	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	2573084	0	1	93516	302	67	1983	310	100666	158	IMA		5.79011	78858	307	67	1983	257	101474	1542	5.78677	132111	4128	67	42687	32	100666	5608	133012	4157	75	42704	32	100658	5616	0			0			167	106874	106274	315.09	110.09													
Recording4	Participant16	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	2573084	0	1	33462	191	67	1008	175	1749829	142	IMA		4.74356	30797	187	67	800	165	1750967	183	4.76004	49342	851	67	5541	58	1749829	625	51158	882	83	5591	58	1749804	650	0			0			70	1750917	1757500	264.98	290.36													
