"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant19","C1-SDH","SUB",83.409,330,4.92839,"SDH","Intralingual","C1",479,61,0.315567847333096,252.754545454545
"Participant19","C2-ST","SUB",119.485,436,4.65066,"SS","Intralingual","C2",665,70,0.470215303002279,274.048165137615
"Participant19","C3-LC","SUB",151.111,566,4.73574,"AC","Intralingual","C3",772,118,0.498880818752063,266.980565371025
"Participant19","E1-SDH","SUB",95.38,361,5.2608,"SDH","Interlingual","E1",566,60,0.419383631814764,264.210526315789
"Participant19","E2-ST","SUB",101.649,419,5.03803,"SS","Interlingual","E2",775,62,0.461298637646696,242.599045346062
"Participant19","E3-LC","SUB",133.559,507,5.01917,"AC","Interlingual","E3",819,55,0.54927967164707,263.429980276134
"Participant10","E1-SDH","SUB",52.711,193,5.87714,"SDH","Interlingual","E1",566,60,0.256413873619692,273.113989637306
"Participant10","E2-ST","SUB",78.691,261,6.08498,"SS","Interlingual","E2",775,62,0.349517193593377,301.498084291188
"Participant10","E3-LC","SUB",127.824,422,5.98535,"AC","Interlingual","E3",819,55,0.572739492786092,302.900473933649
"Participant22","C1-SDH","SUB",55.284,335,3.32401,"SDH","Intralingual","C1",479,61,0.276309476209516,165.026865671642
"Participant22","C2-ST","SUB",73.078,450,2.98423,"SS","Intralingual","C2",665,70,0.353802953280077,162.395555555556
"Participant22","C3-LC","SUB",74.215,443,3.09281,"AC","Intralingual","C3",772,118,0.338725062870548,167.528216704289
"Participant22","E1-SDH","SUB",43.337,265,3.17595,"SDH","Interlingual","E1",566,60,0.241223456068576,163.535849056604
"Participant22","E2-ST","SUB",42.332,321,2.98653,"SS","Interlingual","E2",775,62,0.299381886589626,131.8753894081
"Participant22","E3-LC","SUB",71.128,523,3.11218,"AC","Interlingual","E3",819,55,0.385666028661436,136
"Participant21","E1-SDH","SUB",78.978,349,4.76724,"SDH","Interlingual","E1",566,60,0.376510633429156,226.297994269341
"Participant21","E2-ST","SUB",83.307,355,4.98157,"SS","Interlingual","E2",775,62,0.422931844142658,234.667605633803
"Participant21","E3-LC","SUB",116.383,511,4.69138,"AC","Interlingual","E3",819,55,0.524332774684183,227.755381604697
"Participant10","C1-SDH","SUB",75.012,221,5.38745,"SDH","Intralingual","C1",479,61,0.304077636843449,339.420814479638
"Participant10","C2-ST","SUB",92.098,272,5.9334,"SS","Intralingual","C2",665,70,0.360241887536377,338.595588235294
"Participant10","C3-LC","SUB",40.896,150,5.64999,"AC","Intralingual","C3",772,118,0.157654306233929,272.64
"Participant1","E1-SDH","SUB",46.33,259,3.93705,"SDH","Interlingual","E1",566,60,0.222691135614239,178.880308880309
"Participant1","E2-ST","SUB",62.364,350,4.10668,"SS","Interlingual","E2",775,62,0.311171208031255,178.182857142857
