"Participant","Subtitle_Type","Language","Media","AOI","Average_duration_of_fixations","Total_duration_of_fixations","Number_of_fixations","Number_of_Visits","Average_pupil_diameter","Wordcount","Line"
"Participant19","SDH","C","C1-SDH","IMA",308,180905,588,117,4.83507,479,61
"Participant19","SDH","C","C1-SDH","SUB",253,83409,330,109,4.92839,479,61
"Participant19","ST","C","C2-ST","IMA",329,134622,409,87,4.70417,665,70
"Participant19","ST","C","C2-ST","SUB",274,119485,436,85,4.65066,665,70
"Participant19","LC","C","C3-LC","IMA",310,151789,490,154,4.6441,772,118
"Participant19","LC","C","C3-LC","SUB",267,151111,566,157,4.73574,772,118
"Participant19","SDH","E","E1-SDH","IMA",334,132049,395,96,5.26724,566,60
"Participant19","SDH","E","E1-SDH","SUB",264,95380,361,93,5.2608,566,60
"Participant19","ST","E","E2-ST","IMA",298,118705,399,91,5.02443,775,62
"Participant19","ST","E","E2-ST","SUB",243,101649,419,91,5.03803,775,62
"Participant19","LC","E","E3-LC","IMA",302,109594,435,130,4.83991,819,55
"Participant19","LC","E","E3-LC","SUB",274,133559,507,123,5.01917,819,55
"Participant10","SDH","E","E1-SDH","IMA",312,152859,490,83,5.81672,566,60
"Participant10","SDH","E","E1-SDH","SUB",273,52711,193,84,5.87714,566,60
"Participant10","ST","E","E2-ST","IMA",288,146451,508,85,6.09618,775,62
"Participant10","ST","E","E2-ST","SUB",301,78691,261,82,6.08498,775,62
"Participant10","LC","E","E3-LC","IMA",278,95356,288,104,5.98203,819,55
"Participant10","LC","E","E3-LC","SUB",303,127824,422,96,5.98535,819,55
"Participant22","SDH","C","C1-SDH","IMA",203,144796,715,90,3.0984,479,61
"Participant22","SDH","C","C1-SDH","SUB",165,55284,335,88,3.32401,479,61
"Participant22","ST","C","C2-ST","IMA",243,133472,550,96,2.97548,665,70
"Participant22","ST","C","C2-ST","SUB",162,73078,450,94,2.98423,665,70
"Participant22","LC","C","C3-LC","IMA",230,144886,631,126,2.90669,772,118
"Participant22","LC","C","C3-LC","SUB",168,74215,443,125,3.09281,772,118
"Participant22","SDH","E","E1-SDH","IMA",236,136318,577,77,3.01542,566,60
"Participant22","SDH","E","E1-SDH","SUB",164,43337,265,77,3.17595,566,60
"Participant22","ST","E","E2-ST","IMA",195,99066,507,89,2.9222,775,62
"Participant22","ST","E","E2-ST","SUB",132,42332,321,90,2.98653,775,62
"Participant22","LC","E","E3-LC","IMA",190,113301,712,156,2.8867,819,55
"Participant22","LC","E","E3-LC","SUB",136,71128,523,154,3.11218,819,55
"Participant21","SDH","E","E1-SDH","IMA",326,130785,401,100,4.91075,566,60
"Participant21","SDH","E","E1-SDH","SUB",226,78978,349,105,4.76724,566,60
"Participant21","ST","E","E2-ST","IMA",281,113668,404,104,4.96995,775,62
"Participant21","ST","E","E2-ST","SUB",235,83307,355,109,4.98157,775,62
"Participant21","LC","E","E3-LC","IMA",307,105581,349,112,4.61034,819,55
"Participant21","LC","E","E3-LC","SUB",228,116383,511,137,4.69138,819,55
"Participant10","SDH","C","C1-SDH","IMA",293,171675,586,109,5.29693,479,61
"Participant10","SDH","C","C1-SDH","SUB",339,75012,221,115,5.38745,479,61
"Participant10","ST","C","C2-ST","IMA",307,163558,532,106,6.00829,665,70
"Participant10","ST","C","C2-ST","SUB",339,92098,272,102,5.9334,665,70
"Participant10","LC","C","C3-LC","IMA",307,218507,711,111,5.56183,772,118
"Participant10","LC","C","C3-LC","SUB",273,40896,150,92,5.64999,772,118
"Participant1","SDH","E","E1-SDH","IMA",244,161716,663,91,4.16549,566,60
"Participant1","SDH","E","E1-SDH","SUB",179,46330,259,88,3.93705,566,60
"Participant1","ST","E","E2-ST","IMA",232,138053,594,97,4.11267,775,62
"Participant1","ST","E","E2-ST","SUB",178,62364,350,101,4.10668,775,62
"Participant1","LC","E","E3-LC","IMA",259,116355,661,115,4.3178,819,55
"Participant1","LC","E","E3-LC","SUB",208,99840,480,123,4.40121,819,55
"Participant1","SDH","C","C1-SDH","IMA",228,172241,755,91,3.96801,479,61
"Participant1","SDH","C","C1-SDH","SUB",218,54601,251,90,3.94793,479,61
"Participant1","ST","C","C2-ST","IMA",272,158293,581,89,4.24774,665,70
"Participant1","ST","C","C2-ST","SUB",235,81149,345,90,4.17708,665,70
"Participant1","LC","C","C3-LC","IMA",228,179537,789,161,3.90237,772,118
"Participant1","LC","C","C3-LC","SUB",182,88167,484,159,3.89215,772,118
"Participant21","SDH","C","C1-SDH","IMA",305,151634,497,95,4.49332,479,61
"Participant21","SDH","C","C1-SDH","SUB",263,91332,347,92,4.5627,479,61
"Participant21","ST","C","C2-ST","IMA",368,135033,367,83,4.35943,665,70
"Participant21","ST","C","C2-ST","SUB",252,114562,455,84,4.19531,665,70
"Participant21","LC","C","C3-LC","IMA",290,133171,460,119,4.23091,772,118
"Participant21","LC","C","C3-LC","SUB",249,134864,541,122,4.27264,772,118
"Participant2","SDH","E","E1-SDH","IMA",366,106265,290,61,3.78286,566,60
"Participant2","SDH","E","E1-SDH","SUB",281,120085,428,74,3.79798,566,60
"Participant2","ST","E","E2-ST","IMA",346,91386,264,64,3.25181,775,62
"Participant2","ST","E","E2-ST","SUB",260,126846,487,64,3.30445,775,62
"Participant2","LC","E","E3-LC","IMA",378,146719,500,99,3.47005,819,55
"Participant2","LC","E","E3-LC","SUB",262,134144,512,123,3.56604,819,55
"Participant24","SDH","C","C1-SDH","IMA",373,157464,422,58,5.31014,479,61
"Participant24","SDH","C","C1-SDH","SUB",446,131009,294,72,5.38397,479,61
"Participant24","ST","C","C2-ST","IMA",510,41802,82,23,5.81608,665,70
"Participant24","ST","C","C2-ST","SUB",661,238560,361,24,5.64829,665,70
"Participant24","LC","C","C3-LC","IMA",446,30313,68,26,5.39872,772,118
"Participant24","LC","C","C3-LC","SUB",810,297262,367,31,5.56464,772,118
"Participant20","SDH","E","E1-SDH","IMA",253,136303,538,55,3.61587,566,60
"Participant20","SDH","E","E1-SDH","SUB",269,66651,248,66,3.46703,566,60
"Participant20","ST","E","E2-ST","IMA",322,164818,512,38,3.60971,775,62
"Participant20","ST","E","E2-ST","SUB",311,51562,166,36,3.49123,775,62
"Participant20","LC","E","E3-LC","IMA",261,80624,455,60,3.6321,819,55
"Participant20","LC","E","E3-LC","SUB",271,122492,452,125,3.59469,819,55
"Participant2","SDH","C","C1-SDH","IMA",302,162770,539,77,3.30613,479,61
"Participant2","SDH","C","C1-SDH","SUB",244,89182,366,87,3.42022,479,61
"Participant2","ST","C","C2-ST","IMA",323,131272,407,78,3.19758,665,70
"Participant2","ST","C","C2-ST","SUB",268,117469,438,75,3.18333,665,70
"Participant2","LC","C","C3-LC","IMA",291,124243,427,89,3.0811,772,118
"Participant2","LC","C","C3-LC","SUB",283,139385,492,85,3.2818,772,118
"Participant25","SDH","E","E1-SDH","IMA",285,91209,320,76,5.95615,566,60
"Participant25","SDH","E","E1-SDH","SUB",229,74787,326,111,5.80351,566,60
"Participant25","ST","E","E2-ST","IMA",294,72837,248,75,5.84956,775,62
